tra_infr,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
MWAY,KM,DE24	: 	349 	349 	349 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE25	: 	358 	356 	356 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE26	: 	353 	353 	353 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE27	: 	259 	272 	272 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE30	73 	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 
MWAY,KM,DE40	790 	795 	795 	795 	795 	794 	794 	794 	805 	805 	806 	806 
MWAY,KM,DE50	71 	75 	75 	75 	75 	75 	75 	80 	80 	80 	80 	80 
MWAY,KM,DE60	81 	81 	81 	81 	81 	81 	81 	81 	81 	81 	81 	81 
MWAY,KM,DE71	: 	480 	480 	480 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE72	: 	199 	199 	199 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE73	: 	293 	293 	293 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE80	538 	538 	552 	554 	554 	554 	554 	554 	568 	568 	578 	578 
MWAY,KM,DE91	: 	274 	286 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE92	: 	226 	226 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE93	: 	299 	372 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DE94	: 	547 	547 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEA1	: 	638 	649 	649 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEA2	: 	557 	558 	558 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEA3	: 	356 	356 	356 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEA4	: 	189 	190 	190 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEA5	: 	447 	448 	448 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEB1	: 	257 	257 	258 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEB2	: 	184 	184 	187 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEB3	: 	431 	431 	431 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEC0	240 	240 	240 	240 	240 	240 	240 	240 	240 	240 	240 	240 
MWAY,KM,DED2	216 	216 	216 	216 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DED4	203 	203 	203 	203 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DED5	111 	111 	111 	111 	: 	: 	: 	: 	: 	: 	: 	: 
MWAY,KM,DEE0	383 	407 	407 	407 	407 	411 	411 	416 	416 	416 	416 	499 
MWAY,KM,DEF0	498 	510 	533 	533 	533 	536 	536 	538 	538 	544 	545 	545 
MWAY,KM,DEG0	465 	482 	498 	498 	498 	498 	511 	510 	521 	521 	521 	521 
MWAY,KM,DK01	157 	157 	157 d	157 	159 	160 	160 	159 	164 	164 	167 	167 
MWAY,KM,DK02	260 	260 	260 d	260 	260 	260 	267 	267 	267 	267 	270 	270 
MWAY,KM,DK03	321 	328 	329 d	329 	336 	372 	377 	377 	377 	378 	379 	379 
MWAY,KM,DK04	186 	197 	197 d	197 	200 	215 	223 	241 	242 	259 	306 	327 
MWAY,KM,DK05	187 	187 	187 d	187 	187 	187 	187 	187 	187 	186 	186 	186 
MWAY,KM,EE00	96 	104 	100 	115 	115 	124 	140 	141 	147 	145 	154 	154 p
MWAY,KM,ES11	812 	907 	925 	961 	994 	995 	1015 	1031 	1080 	1105 	1105 	1112 
MWAY,KM,ES12	372 	389 	394 	394 	390 	408 	433 	454 	454 	453 	454 	454 
MWAY,KM,ES13	205 	214 	218 	218 	216 	227 	227 	227 	255 	255 	255 	255 
MWAY,KM,ES21	489 	510 	529 	535 	552 	533 	533 	474 	488 	496 	496 	496 
MWAY,KM,ES22	322 	345 	348 	356 	372 	372 	372 	372 	380 	380 	380 	380 
MWAY,KM,ES23	154 	159 	159 	159 	159 	165 	165 	176 	181 	181 	181 	181 
MWAY,KM,ES24	604 	667 	676 	704 	749 	752 	757 	767 	769 	788 	788 	793 
MWAY,KM,ES30	747 	751 	760 	753 	780 	771 	777 	783 	783 	771 	771 	766 
MWAY,KM,ES41	1797 	1995 	2158 	2194 	2195 	2207 	2253 	2267 	2350 	2355 	2357 	2379 
MWAY,KM,ES42	1487 	1553 	1636 	1775 	1772 	1816 	1816 	1812 	1812 	1815 	1815 	1817 
MWAY,KM,ES43	593 	640 	651 	668 	679 	694 	694 	700 	700 	703 	703 	703 
MWAY,KM,ES51	1281 	1168 	1271 	1201 	1267 	1294 	1445 	1454 	1448 	1456 	1461 	1465 
